baseUrl,alunoId,disciplinaId,matricula,tipo,semestre,top
https://edumetrics.testespace.com.br,2,2,202600001,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,3,3,202600002,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,4,4,202600003,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,5,5,202600004,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,6,6,202600005,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,7,1,202600006,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,8,2,202600007,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,9,3,202600008,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,10,4,202600009,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,11,5,202600010,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,12,6,202600011,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,1,1,202600012,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,2,2,202600013,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,3,3,202600014,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,4,4,202600015,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,5,5,202600016,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,6,6,202600017,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,7,1,202600018,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,8,2,202600019,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,9,3,202600020,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,10,4,202600021,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,11,5,202600022,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,12,6,202600023,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,1,1,202600024,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,2,2,202600025,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,3,3,202600026,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,4,4,202600027,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,5,5,202600028,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,6,6,202600029,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,7,1,202600030,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,8,2,202600031,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,9,3,202600032,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,10,4,202600033,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,11,5,202600034,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,12,6,202600035,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,1,1,202600036,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,2,2,202600037,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,3,3,202600038,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,4,4,202600039,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,5,5,202600040,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,6,6,202600041,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,7,1,202600042,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,8,2,202600043,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,9,3,202600044,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,10,4,202600045,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,11,5,202600046,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,12,6,202600047,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,1,1,202600048,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,2,2,202600049,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,3,3,202600050,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,4,4,202600051,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,5,5,202600052,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,6,6,202600053,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,7,1,202600054,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,8,2,202600055,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,9,3,202600056,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,10,4,202600057,BOLETIM,2026/1,5
https://edumetrics.testespace.com.br,11,5,202600058,BOLETIM,2026/1,5
