baseUrl,alunoId,disciplinaId,matricula,tipo,semestre,top
https://edumetrics.testespace.com.br,2,2,88000001,HISTORICO,2026/1,2
https://edumetrics.testespace.com.br,3,3,88000002,RANKING,2026/2,3
https://edumetrics.testespace.com.br,4,4,88000003,BOLETIM,2026/1,4
https://edumetrics.testespace.com.br,5,5,88000004,HISTORICO,2026/2,5
https://edumetrics.testespace.com.br,6,6,88000005,RANKING,2026/1,6
https://edumetrics.testespace.com.br,7,1,88000006,BOLETIM,2026/2,7
https://edumetrics.testespace.com.br,8,2,88000007,HISTORICO,2026/1,8
https://edumetrics.testespace.com.br,9,3,88000008,RANKING,2026/2,9
https://edumetrics.testespace.com.br,10,4,88000009,BOLETIM,2026/1,10
https://edumetrics.testespace.com.br,11,5,88000010,HISTORICO,2026/2,1
https://edumetrics.testespace.com.br,12,6,88000011,RANKING,2026/1,2
https://edumetrics.testespace.com.br,1,1,88000012,BOLETIM,2026/2,3
https://edumetrics.testespace.com.br,2,2,88000013,HISTORICO,2026/1,4
https://edumetrics.testespace.com.br,3,3,88000014,RANKING,2026/2,5
https://edumetrics.testespace.com.br,4,4,88000015,BOLETIM,2026/1,6
https://edumetrics.testespace.com.br,5,5,88000016,HISTORICO,2026/2,7
https://edumetrics.testespace.com.br,6,6,88000017,RANKING,2026/1,8
https://edumetrics.testespace.com.br,7,1,88000018,BOLETIM,2026/2,9
https://edumetrics.testespace.com.br,8,2,88000019,HISTORICO,2026/1,10
https://edumetrics.testespace.com.br,9,3,88000020,RANKING,2026/2,1
https://edumetrics.testespace.com.br,10,4,88000021,BOLETIM,2026/1,2
https://edumetrics.testespace.com.br,11,5,88000022,HISTORICO,2026/2,3
https://edumetrics.testespace.com.br,12,6,88000023,RANKING,2026/1,4
https://edumetrics.testespace.com.br,1,1,88000024,BOLETIM,2026/2,5
https://edumetrics.testespace.com.br,2,2,88000025,HISTORICO,2026/1,6
https://edumetrics.testespace.com.br,3,3,88000026,RANKING,2026/2,7
